,timestamp,classifier,classifier_id,cost,epoch,current_minibatch_index,beta1,beta2,calculated_learning_rate,current_batch_index,current_batch_iteration,epsilon,hidden_layers,iteration_count,lambd,learning_rate,learning_rate_decay,minibatch_size,shuffle,total_batch_index,total_iteration_count
18,2017-09-28 18:27:11.479703,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3305009660227147,1,,0.9,0.999,0.003,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,1.0,18.0
19,2017-09-28 18:27:11.488327,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3727895732454005,1,,0.9,0.999,0.003,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,1.0,19.0
20,2017-09-28 18:27:11.498428,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3985668878612836,2,,0.9,0.999,0.003,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,20.0
21,2017-09-28 18:27:11.507267,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3868434466354989,2,,0.9,0.999,0.003,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,21.0
22,2017-09-28 18:27:11.516314,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.361035966841454,2,,0.9,0.999,0.003,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,22.0
23,2017-09-28 18:27:11.525021,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3323886150283761,2,,0.9,0.999,0.003,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,23.0
24,2017-09-28 18:27:11.533874,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3108584942047858,2,,0.9,0.999,0.003,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,24.0
25,2017-09-28 18:27:11.542766,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.301265103514241,2,,0.9,0.999,0.003,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,25.0
26,2017-09-28 18:27:11.553468,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3020053110887062,2,,0.9,0.999,0.003,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,26.0
27,2017-09-28 18:27:11.562868,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3077745419848188,2,,0.9,0.999,0.003,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,27.0
28,2017-09-28 18:27:11.571635,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3133126560807853,2,,0.9,0.999,0.003,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,28.0
29,2017-09-28 18:27:11.580358,NeuralNetWithAdam,38e67361-5ccc-44a6-a8a5-0390d189fd64,1.3153267033550113,2,,0.9,0.999,0.003,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,2.0,29.0
30,2017-09-28 18:27:11.728750,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,33.23057935933884,0,,0.9,0.999,0.002,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,0.0
31,2017-09-28 18:27:11.739089,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,9.66838448861439,0,,0.9,0.999,0.002,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,1.0
32,2017-09-28 18:27:11.748644,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,10.21664167665038,0,,0.9,0.999,0.002,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,2.0
33,2017-09-28 18:27:11.758188,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,9.830920326402536,0,,0.9,0.999,0.002,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,3.0
34,2017-09-28 18:27:11.767109,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,5.9724131909917375,0,,0.9,0.999,0.002,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,4.0
35,2017-09-28 18:27:11.776204,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,2.332903321798845,0,,0.9,0.999,0.002,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,5.0
36,2017-09-28 18:27:11.785178,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,3.0903024270004815,0,,0.9,0.999,0.002,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,6.0
37,2017-09-28 18:27:11.794412,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,3.6362096246724565,0,,0.9,0.999,0.002,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,7.0
38,2017-09-28 18:27:11.804945,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,2.8285493565744355,0,,0.9,0.999,0.002,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,8.0
39,2017-09-28 18:27:11.816105,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.7932112810829475,0,,0.9,0.999,0.002,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,0.0,9.0
40,2017-09-28 18:27:11.828906,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,2.232806145305129,1,,0.9,0.999,0.002,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,10.0
41,2017-09-28 18:27:11.839668,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,2.2612552977787628,1,,0.9,0.999,0.002,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,11.0
42,2017-09-28 18:27:11.850542,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,2.092936365049188,1,,0.9,0.999,0.002,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,12.0
43,2017-09-28 18:27:11.860747,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.87265512766408,1,,0.9,0.999,0.002,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,13.0
44,2017-09-28 18:27:11.870652,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.701688861547882,1,,0.9,0.999,0.002,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,14.0
45,2017-09-28 18:27:11.880060,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5945446606745162,1,,0.9,0.999,0.002,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,15.0
46,2017-09-28 18:27:11.890778,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5458253565762983,1,,0.9,0.999,0.002,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,16.0
47,2017-09-28 18:27:11.900172,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5622021940971769,1,,0.9,0.999,0.002,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,17.0
48,2017-09-28 18:27:11.909000,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.6294187292011302,1,,0.9,0.999,0.002,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,18.0
49,2017-09-28 18:27:11.917826,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.6926271306160217,1,,0.9,0.999,0.002,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,1.0,19.0
50,2017-09-28 18:27:11.929002,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.7041528571792603,2,,0.9,0.999,0.002,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,20.0
51,2017-09-28 18:27:11.938389,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.6895748986038546,2,,0.9,0.999,0.002,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,21.0
52,2017-09-28 18:27:11.947583,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.6615519758727983,2,,0.9,0.999,0.002,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,22.0
53,2017-09-28 18:27:11.956379,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.626534035187375,2,,0.9,0.999,0.002,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,23.0
54,2017-09-28 18:27:11.965595,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5907798105798867,2,,0.9,0.999,0.002,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,24.0
55,2017-09-28 18:27:11.975182,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5590477448652005,2,,0.9,0.999,0.002,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,25.0
56,2017-09-28 18:27:11.984343,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5338494179329107,2,,0.9,0.999,0.002,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,26.0
57,2017-09-28 18:27:11.996120,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5155216636058522,2,,0.9,0.999,0.002,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,27.0
58,2017-09-28 18:27:12.007094,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.5028489305127353,2,,0.9,0.999,0.002,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,28.0
59,2017-09-28 18:27:12.017888,NeuralNetWithAdam,4f63d6a9-2d0b-4a57-af1e-38bed1ee1c47,1.493879665376731,2,,0.9,0.999,0.002,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.002,0.0,0.0,1.0,2.0,29.0
60,2017-09-28 18:27:12.162100,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,33.23057935933884,0,,0.9,0.999,0.001,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,0.0
61,2017-09-28 18:27:12.173574,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,20.233127289548722,0,,0.9,0.999,0.001,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,1.0
62,2017-09-28 18:27:12.184740,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,7.372642551180503,0,,0.9,0.999,0.001,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,2.0
63,2017-09-28 18:27:12.195505,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,7.694050500130957,0,,0.9,0.999,0.001,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,3.0
64,2017-09-28 18:27:12.206750,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,8.901930785116642,0,,0.9,0.999,0.001,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,4.0
65,2017-09-28 18:27:12.218058,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,7.6273647010260985,0,,0.9,0.999,0.001,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,5.0
66,2017-09-28 18:27:12.229162,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,5.362909463195677,0,,0.9,0.999,0.001,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,6.0
67,2017-09-28 18:27:12.240567,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,3.2756151044163153,0,,0.9,0.999,0.001,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,7.0
68,2017-09-28 18:27:12.251718,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.575369062275309,0,,0.9,0.999,0.001,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,8.0
69,2017-09-28 18:27:12.263098,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.659153588587131,0,,0.9,0.999,0.001,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,0.0,9.0
70,2017-09-28 18:27:12.275744,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.8958447247117407,1,,0.9,0.999,0.001,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,10.0
71,2017-09-28 18:27:12.287849,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.925820264197747,1,,0.9,0.999,0.001,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,11.0
72,2017-09-28 18:27:12.297543,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.9054865425909195,1,,0.9,0.999,0.001,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,12.0
73,2017-09-28 18:27:12.308466,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.8514956855430618,1,,0.9,0.999,0.001,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,13.0
74,2017-09-28 18:27:12.317765,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.773490418414854,1,,0.9,0.999,0.001,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,14.0
75,2017-09-28 18:27:12.326598,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.681324979389175,1,,0.9,0.999,0.001,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,15.0
76,2017-09-28 18:27:12.335432,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.5870564124205018,1,,0.9,0.999,0.001,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,16.0
77,2017-09-28 18:27:12.344444,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.497502679384286,1,,0.9,0.999,0.001,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,17.0
78,2017-09-28 18:27:12.353221,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.4148568206298897,1,,0.9,0.999,0.001,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,18.0
79,2017-09-28 18:27:12.362120,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.3407745537798803,1,,0.9,0.999,0.001,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,1.0,19.0
80,2017-09-28 18:27:12.372678,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.2711486914215993,2,,0.9,0.999,0.001,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,20.0
81,2017-09-28 18:27:12.384144,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.2490940795329464,2,,0.9,0.999,0.001,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,21.0
82,2017-09-28 18:27:12.392902,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.2274240136840997,2,,0.9,0.999,0.001,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,22.0
83,2017-09-28 18:27:12.402348,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.2055740134385164,2,,0.9,0.999,0.001,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,23.0
84,2017-09-28 18:27:12.412878,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.1837131247220385,2,,0.9,0.999,0.001,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,24.0
85,2017-09-28 18:27:12.421721,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.1621833782975943,2,,0.9,0.999,0.001,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,25.0
86,2017-09-28 18:27:12.430590,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.140845370219445,2,,0.9,0.999,0.001,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,26.0
87,2017-09-28 18:27:12.440453,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.1198227677173462,2,,0.9,0.999,0.001,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,27.0
88,2017-09-28 18:27:12.449458,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.0993553015926323,2,,0.9,0.999,0.001,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,28.0
89,2017-09-28 18:27:12.460468,NeuralNetWithAdam,646473db-7a76-4624-906d-179906e5a713,2.079530391870634,2,,0.9,0.999,0.001,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.001,0.0,0.0,1.0,2.0,29.0
