,timestamp,classifier,classifier_id,cost,epoch,current_minibatch_index,beta1,beta2,calculated_learning_rate,current_batch_index,current_batch_iteration,epsilon,hidden_layers,iteration_count,lambd,learning_rate,learning_rate_decay,minibatch_size,shuffle,total_batch_index,total_iteration_count
0,2017-09-28 18:28:11.098972,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,33.23057935933884,0,,0.9,0.999,0.003,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,0.0
1,2017-09-28 18:28:11.110274,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,6.4919975711397075,0,,0.9,0.999,0.003,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,1.0
2,2017-09-28 18:28:11.120235,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,8.58647324334692,0,,0.9,0.999,0.003,0.0,2.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,2.0
3,2017-09-28 18:28:11.129832,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,3.5624044454254125,0,,0.9,0.999,0.003,0.0,3.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,3.0
4,2017-09-28 18:28:11.139415,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,3.126986065237535,0,,0.9,0.999,0.003,0.0,4.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,4.0
5,2017-09-28 18:28:11.148919,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,3.1745741553299753,0,,0.9,0.999,0.003,0.0,5.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,5.0
6,2017-09-28 18:28:11.158630,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,2.7914792011613523,0,,0.9,0.999,0.003,0.0,6.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,6.0
7,2017-09-28 18:28:11.168069,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,2.009395325380703,0,,0.9,0.999,0.003,0.0,7.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,7.0
8,2017-09-28 18:28:11.177876,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,2.278513040278813,0,,0.9,0.999,0.003,0.0,8.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,8.0
9,2017-09-28 18:28:11.187183,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,1.7115152597387207,0,,0.9,0.999,0.003,0.0,9.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,0.0,9.0
10,2017-09-28 18:28:11.197342,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,1.56844340596502,1,,0.9,0.999,0.003,0.0,0.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,1.0,10.0
11,2017-09-28 18:28:11.206321,NeuralNetWithAdam,c68cf2a6-c500-4319-a1aa-445c8626ad57,1.5486258113160827,1,,0.9,0.999,0.003,0.0,1.0,1e-08,"(24, 36, 24, 12, 6)",10.0,0.4,0.003,0.0,0.0,1.0,1.0,11.0
